"id";"bank_id";"name";"description";"mcc";"icon_filename";"og_id"
"1";"1";"Авто";"Кэшбэк за покупку автозапчастей, оплату услуг в автосервисах, на СТО и автомойках, за оплату проезда по платным дорогам";"4784, 5013, 5271, 5511, 5521, 5531-5533, 5551, 5561, 5571, 5592, 5598, 5599, 7511, 7523, 7531, 7534, 7535, 7538, 7542, 7549";"auto_kv.png";""
"2";"1";"АЗС";"Кэшбэк за оплату топлива, а также покупок в магазине и кафе на АЗС картами банка";"5172, 5541, 5542, 5552, 5983, 9752, 3990";"azs_kv.png";""
"3";"1";"Сервис Тревел";"Кэшбэк за покупки билетов, бронирования туров и отелей только через сервис Тревел в мобильном приложении Альфа-Банка";"4722 (покупки на сайте travel.alfabank.ru или в Разделе Путешествия мобильного банка)";"travel_kv.png";"102"
"4";"1";"Аренда авто";"Кэшбэк за аренду автомобилей в дилерских центрах, долгосрочную аренду и каршеринг";"3351-3398, 3400-3410, 3412-3423, 3425-3439, 3441, 7512, 7513, 7519, 3990";"rent_auto_kv.png";""
"5";"1";"Дом и ремонт";"Кэшбэк за покупки в магазинах для ремонта и обустройства дома, а также в мебельных салонах";"0780, 1520, 1711, 1731, 1740, 1750, 1761, 1771, 2842, 5021, 5039, 5046, 5051, 5072, 5074, 5085, 5198, 5200, 5211, 5231, 5251, 5261, 5712, 5713, 5714, 5718, 5719, 5950, 5996, 7217, 7641, 7692, 7699, 3990";"home_kv.png";"165"
"6";"1";"Животные";"Кэшбэк за покупки в зоомагазинах и ветклиниках ";"0742, 5995";"pets_kv.png";""
"7";"1";"Аптеки";"Кэшбэк за покупки в аптеках";"4119, 5047, 5122, 5912, 5975, 5976, 8011, 8021, 8031, 8041, 8042, 8043, 8044, 8049, 8050, 8062, 8071, 8099";"medicine_kv.png";"584"
"8";"1";"Кафе и рестораны";"Кэшбэк за покупки в ресторанах, кафе, барах, кроме фастфуда";"5811, 5812, 5813, 3990";"cafe_kv.png";"168"
"9";"1";"Книги";"Кэшбэк за покупки в книжных и канцелярских магазинах, а также в газетных киосках";"2741, 5111, 5192, 5942, 5943, 5994";"book_kv.png";""
"10";"1";"Коммунальные услуги";"Кэшбэк за оплату коммунальных услуг через приложение Альфа-Банка и в Альфа-Онлайн";"4900";"zhkh_kv.png";""
"11";"1";"Красота";"Кэшбэк за покупки в салонах красоты и SPA-салонах";"5977, 7230, 7297, 7298";"beauty_kv.png";"171"
"12";"1";"Образование";"Кэшбэк за оплату обучения в государственных и частных образовательных учреждениях, курсов и обучения на онлайн-платформах";"8211, 8220, 8241, 8244, 8249, 8299, 8351, 3990";"education_kv.png";""
"13";"1";"Одежда и обувь";"Кэшбэк за покупки в магазинах мужской и женской одежды и обуви, спецодежды, а также за оплату проката костюмов";"5137, 5139, 5611, 5621, 5631, 5641, 5651, 5661, 5681, 5691, 5697, 5698, 5699, 5931, 5948, 7251, 7296, 7631";"clothes_kv.png";"673"
"14";"1";"На связь Билайн";"Оплата связи через Альфа-Онлайн, в приложениях Альфа-Банка и билайн. Максимальный кэшбэк– 500 ₽ в месяц";"";"logo_new_beeline__xl_nbg.png";"188"
"15";"1";"Подели";"Оплата покупок по частям в сервисе Подели";"";"podeli_clic.png";""
"16";"1";"Подписки";"Оплата подписок на сервисы Яндекс Плюс, IVI, OKKO, Premier";"";"podpiska.png";""
"17";"1";"Путешествия";"Оплата туров, проживания в отелях, покупка авиабилетов онлайн, в офисах авиакомпаний и кассах аэропортов";"3000 - 3302, 3500 - 3838, 4411, 4511, 4722, 4723, 5962, 7011, 7033";"travel_tur_kv.png";""
"18";"1";"Развлечения";"Кэшбэк за покупки в кинотеатрах, фитнес-клубах, парках аттракционов, музеях и других местах досуга, отдыха и спорта";"5733, 5945 - 5947, 5949, 5970 - 5972, 5998, 7032, 7221, 7395, 7800, 7801, 7829, 7832, 7841, 7911, 7922, 7929, 7932, 7933, 7941, 7991 - 7999, 9406, 9754, 3990";"entertainment_kv.png";""
"19";"1";"Связь, интернет и ТВ";"Кэшбэк за оплату мобильной связи, интернета и домашнего телевидения ";"4813-4816, 4821, 4899, 7372, 7375";"internet_tv_kv.png";""
"20";"1";"Спортивные товары";"Кэшбэк за покупки в спортивных магазинах";"5655, 5940, 5941";"sport_kv.png";""
